ARG1,ARG2,ARG3,ARG4,ARG5,ARG6,ARG7,max_energy_eV,max_photocurrent,quality_factor,prominence
6.039304103656762734e+00,2.237307480895274203e+00,9.713929326942002618e+00,1.909117867339129138e+00,7.871428061628334305e+00,2.881970744937528028e+00,6.712469454067718999e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.778855955372592668e+00,2.888809301290067300e+00,7.882894365848417628e+00,2.205130420226101506e+00,7.728324038618547220e+00,3.754483448457962780e+00,6.500749111285578863e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.609982882682357896e+00,2.563596594717014288e+00,8.373411511887834280e+00,1.994130418094342438e+00,3.730321075262577057e+00,3.525932014306700779e+00,6.599635980159970217e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.298970431539132608e+00,2.621774675687877476e+00,9.836899435800990688e+00,1.926494380865891198e+00,5.768893806343895925e+00,2.908974143387759170e+00,7.066125285917661536e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.609982882682357896e+00,2.563596594717014288e+00,8.373411511887834280e+00,1.994057877792860367e+00,3.908156448013628381e+00,2.545229394209491236e+00,6.599635980159970217e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250145063005414059e+00,2.513943314163562537e+00,9.752705205638594776e+00,1.837942247020953213e+00,7.056956793715390752e+00,2.721869934999866736e+00,6.867737762252126288e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.623876667392349038e+00,2.513943314163562537e+00,9.744192959235947527e+00,1.837942247020953213e+00,7.056956793715390752e+00,2.721869934999866736e+00,6.437151775094681838e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.591822675835534717e+00,2.441943328578961125e+00,8.401649245402524002e+00,2.076278702849398972e+00,5.086965180256843411e+00,3.169757777133534571e+00,7.103555517001557185e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.283925628173074429e+00,2.222902731993666503e+00,9.219645600216020753e+00,1.909889316055264352e+00,4.950853323681831064e+00,3.151757146084761985e+00,4.284593097226249370e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.478038811464280400e+00,2.695513699579015210e+00,8.304599642529449710e+00,1.931172650138279323e+00,7.515958806237138745e+00,2.314949579083498410e+00,6.657218275580919276e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.908661188541626919e+00,2.139187025197799130e+00,8.416791917380999521e+00,4.478183901163887981e+00,8.349881669325220912e+00,3.202343262537010737e+00,6.279384252318306991e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.308687739930931571e+00,2.222902731993666503e+00,9.467511216519651995e+00,1.927601480905800857e+00,5.340899420708586476e+00,2.865775497920615145e+00,6.831570374391870537e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.839217595186856347e+00,2.563596594717014288e+00,8.321900714862724868e+00,2.809975262844308208e+00,3.730321075262577057e+00,3.576942025337810804e+00,7.038742306507105084e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.908661188541626919e+00,3.257691890487246944e+00,8.377987267294235707e+00,4.090625952014234734e+00,8.349881669325220912e+00,3.202343262537010737e+00,6.629013851153625403e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.893984547360297199e+00,2.790159905643246230e+00,9.292480269241783830e+00,1.998150354646580862e+00,8.260111239399014593e+00,3.432955959311512650e+00,6.952856515978482754e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100666513831802806e+00,2.241955342158719944e+00,8.464873028240184283e+00,4.053669500188142649e+00,3.134872411671108416e+00,3.167419590560859977e+00,6.958530835893657951e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.908661188541626919e+00,2.139187025197799130e+00,9.452327621489603260e+00,4.478183901163887981e+00,8.371430980036688396e+00,3.204323766714132660e+00,6.258613399854934478e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.637758404954356983e+00,3.082312412333362062e+00,8.292810603199789909e+00,2.081933184003072590e+00,8.262260314951545226e+00,3.151530245761814619e+00,6.609450864182083940e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.640615842247821643e+00,3.082583962023783819e+00,8.292810603199789909e+00,1.938066231196176936e+00,8.262260314951545226e+00,2.433798838332046799e+00,6.609450864182083940e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.958688676012124930e+00,2.701301054400781609e+00,9.974800850316727363e+00,1.936727235183485218e+00,4.014229539216052522e+00,2.372702572897013251e+00,4.350022532278170040e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.778855955372592668e+00,2.888809301290067300e+00,7.882894365848417628e+00,3.888652615852770111e+00,7.728324038618547220e+00,3.754483448457962780e+00,7.054522263534924065e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800371150295366984e+00,2.511415090130509675e+00,8.371158640472270207e+00,1.634298064065852429e+00,3.907046416678499501e+00,3.558837264061425643e+00,7.072389161815879177e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.424241359401957840e+00,2.468606033508736974e+00,8.369804913679535829e+00,3.677172646551886803e+00,8.072264865220416752e+00,3.220178451035578870e+00,4.205694703881863283e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.637758404954356983e+00,3.082312412333362062e+00,8.292810603199789909e+00,1.938066231196176936e+00,8.262260314951545226e+00,2.433798838332046799e+00,6.609450864182083940e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.018948956208117096e+00,2.697359538165673865e+00,7.336089082303916875e+00,2.436905485690684436e+00,4.022024563019899190e+00,2.562248947980949154e+00,6.970223456811726948e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100666513831802806e+00,2.390911016631398045e+00,8.398070258042295677e+00,4.053669500188142649e+00,4.958323703244241543e+00,3.169762888716619820e+00,6.800547770863103914e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.942455919989728663e+00,2.511492043670613850e+00,9.884641684316937571e+00,1.637625652180070723e+00,3.915714213099703134e+00,3.520312982027992366e+00,4.353555542109294407e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.106179247634785590e+00,2.441943328578961125e+00,8.468452015600410832e+00,2.076278702849398972e+00,3.289662578510442081e+00,3.167414478977774728e+00,7.103555517001557185e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.601085722020075153e+00,2.790159905643246230e+00,9.292480269241783830e+00,1.998150354646580862e+00,4.039732546254324319e+00,2.536033185246473032e+00,6.952856515978482754e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.640615842247821643e+00,2.482170391687946953e+00,8.293278509563478451e+00,1.938066231196176936e+00,5.240142204371199597e+00,2.439901485919482749e+00,6.609450864182083940e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.950350432608416451e+00,2.613916807947659571e+00,9.836899435800990688e+00,2.131465784920655082e+00,5.743106622607065503e+00,3.223971514440135522e+00,6.448784473541047113e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.849733747645636139e+00,2.921959631662050860e+00,8.332707141627537339e+00,1.938559947298406305e+00,7.160244954736044498e+00,2.921974785372385419e+00,6.923474097114032055e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.272406575988323851e+00,2.563596594717014288e+00,8.373411511887834280e+00,2.452516241424387733e+00,3.730321075262577057e+00,3.578970992889911162e+00,7.041918636382529684e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.272406575988323851e+00,2.700731104792521542e+00,9.900473662362397675e+00,1.939457085767515743e+00,7.493784413959875934e+00,2.338124289965918923e+00,6.651764530011865517e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.047549256715514687e+00,2.510922094062353338e+00,9.900473662362397675e+00,1.944605534808788283e+00,7.395269054593746283e+00,3.028531605661112458e+00,6.651764530011865517e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.826134006068915738e+00,3.341407598732731188e+00,9.175360553148108167e+00,2.039340054118189638e+00,4.990243603262874750e+00,3.151757146084761985e+00,6.622458061578683441e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.398109468554580737e+00,2.589497568921396820e+00,8.371158640472270207e+00,1.897933907828510680e+00,2.988873599699442885e+00,2.389678295464129576e+00,7.072389161815879177e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.127466926654347112e+00,2.233799758964469362e+00,9.335909459829220935e+00,1.908624891750066777e+00,8.106836435689423581e+00,3.293856274563857767e+00,6.916338911558936431e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.849733747645636139e+00,2.921959631662050860e+00,8.332707141627537339e+00,3.893410939559478479e+00,7.191009826880613076e+00,2.922109294673194579e+00,6.916704402078150515e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.254720116257285412e+00,2.972925492915232226e+00,9.331002696462492807e+00,2.085657015580327123e+00,7.127209790997466321e+00,3.121409339484744194e+00,4.313517049219267818e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
