rw,RQWt,RQBt,MQWt,LW,LQWt,LQBt,max_energy_eV,max_photocurrent,quality_factor,prominence,constraint
4,6.307151,9.583453,3.400366,4,2.692581,8.000644,471.400029,6.873135e-12,12.570667,0.137495,-0.121784
8,5.264593,11.192474,3.914594,5,2.736354,7.932566,387.800024,1.157585e-09,3878.000000,0.046889,-0.592240
8,5.264593,11.289404,3.770617,5,2.734812,7.931422,387.800024,1.315985e-08,-0.000000,0.160138,-0.449805
4,14.310000,10.326930,3.327858,2,2.691746,1.724910,360.500022,5.361748e-12,450.625000,1.338565,-0.050112
8,6.270396,2.367410,3.770617,4,2.708576,7.931422,453.100028,9.660016e-14,283.187500,0.009687,-0.476041
4,14.310000,10.369292,3.393813,2,2.692581,1.581254,362.900023,5.116679e-12,403.222222,1.464308,-0.115231
4,14.310000,11.247915,3.394634,2,2.717324,1.581254,361.000023,5.460293e-12,515.714286,0.683342,-0.091310
8,6.270396,12.551592,3.906815,4,2.708576,7.680656,420.200026,1.363904e-12,5.252500,0.981501,-0.612239
4,14.310000,11.023455,3.393482,2,2.717324,1.177506,376.400023,3.545655e-12,250.933333,0.916746,-0.090158
8,5.264593,11.192474,3.770617,5,2.734812,7.931422,388.500024,1.626854e-10,485.625000,0.013657,-0.449805
