rw,RQWt,RQBt,MQWt,LW,LQWt,LQBt
4,6.307151,9.583453,3.400366,4,2.692581,8.000644
8,5.264593,11.192474,3.914594,5,2.736354,7.932566
8,5.264593,11.289404,3.770617,5,2.734812,7.931422
4,14.310000,10.326930,3.327858,2,2.691746,1.724910
8,6.270396,2.367410,3.770617,4,2.708576,7.931422
4,14.310000,10.369292,3.393813,2,2.692581,1.581254
4,14.310000,11.247915,3.394634,2,2.717324,1.581254
8,6.270396,12.551592,3.906815,4,2.708576,7.680656
4,14.310000,11.023455,3.393482,2,2.717324,1.177506
8,5.264593,11.192474,3.770617,5,2.734812,7.931422
